input,computed,transformed,aggregated,refined,final_result,service_a,service_b,service_c,service_d,service_e,send_ts,recv_ts,rtt_ms,error
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223019,1763888223078,59,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223078,1763888223136,58,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223136,1763888223196,60,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223196,1763888223254,58,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223255,1763888223313,58,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223313,1763888223371,58,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223371,1763888223432,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223432,1763888223491,59,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223491,1763888223550,59,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223550,1763888223611,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223611,1763888223672,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223672,1763888223733,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223734,1763888223794,60,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223794,1763888223854,60,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223854,1763888223915,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223915,1763888223976,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888223976,1763888224037,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888224037,1763888224098,61,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888224098,1763888224157,59,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888224157,1763888224215,58,
5,105,120,62,63,60,servicea:50051,serviceb:50051,servicec:50051,serviced:50051,servicee:50051,1763888224215,1763888224272,57,
